,locationId,location,parameter,value,date,,coordinates,,city,isMobile,isAnalysis,entity,sensorType
40,1275795,Kitchener,no,0,utc': '2023-07-19T17:00:00+00:00', 'local': '2023-07-19T13:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
41,1275795,Kitchener,no,0,utc': '2023-07-19T18:00:00+00:00', 'local': '2023-07-19T14:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
42,1275795,Kitchener,no,0,utc': '2023-07-19T19:00:00+00:00', 'local': '2023-07-19T15:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
43,1275795,Kitchener,no,0,utc': '2023-07-19T20:00:00+00:00', 'local': '2023-07-19T16:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
44,1275795,Kitchener,no,0,utc': '2023-07-19T21:00:00+00:00', 'local': '2023-07-19T17:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
45,1275795,Kitchener,no,0,utc': '2023-07-19T22:00:00+00:00', 'local': '2023-07-19T18:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
46,1275795,Kitchener,no,0,utc': '2023-07-19T23:00:00+00:00', 'local': '2023-07-19T19:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
47,1275795,Kitchener,no,0,utc': '2023-07-20T00:00:00+00:00', 'local': '2023-07-19T20:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
48,1275795,Kitchener,pm25,31,utc': '2023-07-17T01:00:00+00:00', 'local': '2023-07-16T21:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
49,1275795,Kitchener,pm25,34,utc': '2023-07-17T02:00:00+00:00', 'local': '2023-07-16T22:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
50,1275795,Kitchener,pm25,44,utc': '2023-07-17T03:00:00+00:00', 'local': '2023-07-16T23:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
51,1275795,Kitchener,pm25,48,utc': '2023-07-17T04:00:00+00:00', 'local': '2023-07-17T00:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
52,1275795,Kitchener,pm25,40,utc': '2023-07-17T05:00:00+00:00', 'local': '2023-07-17T01:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
53,1275795,Kitchener,pm25,36,utc': '2023-07-17T06:00:00+00:00', 'local': '2023-07-17T02:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
54,1275795,Kitchener,pm25,30,utc': '2023-07-17T07:00:00+00:00', 'local': '2023-07-17T03:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
55,1275795,Kitchener,pm25,23,utc': '2023-07-17T08:00:00+00:00', 'local': '2023-07-17T04:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
56,1275795,Kitchener,pm25,20,utc': '2023-07-17T09:00:00+00:00', 'local': '2023-07-17T05:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
57,1275795,Kitchener,pm25,17,utc': '2023-07-17T10:00:00+00:00', 'local': '2023-07-17T06:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
58,1275795,Kitchener,pm25,15,utc': '2023-07-17T11:00:00+00:00', 'local': '2023-07-17T07:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
59,1275795,Kitchener,pm25,14,utc': '2023-07-17T12:00:00+00:00', 'local': '2023-07-17T08:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
60,1275795,Kitchener,pm25,15,utc': '2023-07-17T13:00:00+00:00', 'local': '2023-07-17T09:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
61,1275795,Kitchener,pm25,16,utc': '2023-07-17T14:00:00+00:00', 'local': '2023-07-17T10:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
62,1275795,Kitchener,pm25,22,utc': '2023-07-17T15:00:00+00:00', 'local': '2023-07-17T11:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
63,1275795,Kitchener,pm25,29,utc': '2023-07-17T17:00:00+00:00', 'local': '2023-07-17T13:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
64,1275795,Kitchener,pm25,31,utc': '2023-07-17T18:00:00+00:00', 'local': '2023-07-17T14:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
